bucket,n,predicted,actual
"(-0.001, 0.1]",28524,0.02398003,0.028151731874912354
"(0.1, 0.2]",11101,0.14890784,0.16349878389334294
"(0.2, 0.3]",9886,0.24817981,0.23123609144244386
"(0.3, 0.4]",8125,0.3478149,0.38744615384615383
"(0.4, 0.5]",8139,0.45120096,0.49870991522300034
"(0.5, 0.6]",8303,0.5492274,0.6094182825484764
"(0.6, 0.7]",7179,0.64580756,0.70135116311464
"(0.7, 0.8]",7709,0.7502014,0.7405629783370087
"(0.8, 0.9]",8537,0.8515443,0.8501815626098161
"(0.9, 1.0]",19522,0.96736336,0.9771539801249872
